Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,1.000634,1.001451,0.999204,1.000375,1.000375,446117860
2022-01-24,1.000529,1.001975,0.998462,1.000685,1.000685,685793214
2022-01-23,0.999927,1.001827,0.998673,1.000553,1.000553,404965759
2022-01-22,1.000286,1.001761,0.998503,0.999951,0.999951,984517239
2022-01-21,0.999691,1.001667,0.997389,1.000291,1.000291,925128860
2022-01-20,0.999633,1.001607,0.998683,0.999678,0.999678,463356217
2022-01-19,0.999743,1.001316,0.998517,0.999598,0.999598,451758676
2022-01-18,0.999886,1.00089,0.998677,0.999744,0.999744,512219720
2022-01-17,1.000261,1.001074,0.998566,0.999888,0.999888,640642937
2022-01-16,0.999402,1.000854,0.998186,1.000283,1.000283,384353707
2022-01-15,1.000055,1.000885,0.99859,0.999393,0.999393,339498191
2022-01-14,0.998987,1.00107,0.998387,1.00007,1.00007,361537640
2022-01-13,1.001122,1.001591,0.997753,0.998932,0.998932,468175817
2022-01-12,1.000319,1.001905,0.99926,1.001124,1.001124,410906024
2022-01-11,1.000198,1.002713,0.998758,1.000297,1.000297,469385653
2022-01-10,0.999741,1.001479,0.998274,1.000316,1.000316,691978522
2022-01-09,0.999742,1.001456,0.998854,0.999714,0.999714,329184018
2022-01-08,0.999542,1.00138,0.99869,0.999675,0.999675,526473838
2022-01-07,0.999385,1.000946,0.99717,0.999558,0.999558,640830173
2022-01-06,0.999903,1.001194,0.998404,0.999461,0.999461,558399863
2022-01-05,0.999139,1.001021,0.998084,0.99993,0.99993,625153639
2022-01-04,0.999755,1.000731,0.998322,0.999099,0.999099,449020349
2022-01-03,1.000423,1.001168,0.998064,0.999749,0.999749,421211916
2022-01-02,0.999868,1.000887,0.998461,1.000422,1.000422,307504088
2022-01-01,0.999096,1.000368,0.99855,0.999859,0.999859,369649923
2021-12-31,1.00062,1.001063,0.99779,0.99908,0.99908,384478346
2021-12-30,0.996083,1.001245,0.995243,1.000632,1.000632,357182462
2021-12-29,0.995516,1.000319,0.992877,0.99625,0.99625,334503584
2021-12-28,0.999777,1.001043,0.99205,0.995608,0.995608,588448318
2021-12-27,1.00067,1.00277,0.998482,0.999729,0.999729,318911724
2021-12-26,1.001922,1.00383,0.99808,1.00076,1.00076,340364048
2021-12-25,1.001587,1.005198,0.998426,1.002405,1.002405,312631573
2021-12-24,1.004623,1.008462,0.999965,1.001566,1.001566,407749940
2021-12-23,0.998865,1.005264,0.996613,1.00458,1.00458,557403282
2021-12-22,1.004494,1.006714,0.996082,0.998874,0.998874,416382817
2021-12-21,1.001312,1.007922,1.001312,1.00451,1.00451,524147706
2021-12-20,0.999124,1.003887,0.993016,1.001571,1.001571,642367212
2021-12-19,1.000819,1.00331,0.997954,0.999352,0.999352,517768581
